epoch,step,train_loss,valid_loss
0,49,0.5659996867179871,
0,99,0.4490857422351837,
0,149,0.2286790907382965,
0,199,0.3490709960460663,
0,249,0.25263357162475586,
0,249,,0.857110857963562
1,299,0.2720065414905548,
1,349,0.41183099150657654,
1,399,0.3417084813117981,
1,449,0.4048255980014801,
1,499,0.22677654027938843,
1,499,,0.7668027281761169
2,549,0.26038193702697754,
2,599,0.6499783992767334,
2,649,0.16716605424880981,
2,699,0.15285184979438782,
2,749,0.3540951609611511,
2,749,,0.7426571249961853
3,799,3.0753324031829834,
3,849,0.7835733294487,
3,899,0.421836793422699,
3,949,0.6833966970443726,
3,999,0.22993658483028412,
3,999,,0.71664959192276
4,1049,0.29612720012664795,
4,1099,0.49128276109695435,
4,1149,0.9664856195449829,
4,1199,3.107969284057617,
4,1249,0.3718956410884857,
4,1249,,0.7088661789894104
5,1299,0.22346794605255127,
5,1349,0.33143913745880127,
5,1399,0.6471215486526489,
5,1449,0.6710734367370605,
5,1499,0.2954263389110565,
5,1499,,0.6807305812835693
6,1549,0.24967172741889954,
6,1599,0.41738083958625793,
6,1649,1.9255954027175903,
6,1699,1.3167839050292969,
6,1749,0.1311432272195816,
6,1749,,0.6735807061195374
7,1799,0.2884158194065094,
7,1849,0.20201335847377777,
7,1899,0.7995306253433228,
7,1949,0.24615108966827393,
7,1999,0.6762585639953613,
7,1999,,0.6649991869926453
8,2049,0.20497828722000122,
8,2099,0.3524724841117859,
8,2149,0.2113771140575409,
8,2199,0.7687884569168091,
8,2249,0.23667238652706146,
8,2249,,0.6654415130615234
9,2299,0.29311126470565796,
9,2349,0.158207505941391,
9,2399,0.22733384370803833,
9,2449,0.39794331789016724,
9,2499,0.269431471824646,
9,2499,,0.6558770537376404
